bleu, triples
0.239854165,38
0.882496903,9
0.111702466,10
0.524932594,12
0.676130446,13
0.634046628,18
0.251242185,10
0.415138095,12
0.035204774,7
0.32002861,16
0.386097395,11
0.722245058,18
0.45204707,26
0.366055014,11
0.42115125,23
0.330768044,14
0.366331103,10
0.232506408,29
0.29782018,20
0.382602942,11
0.199923657,14
0.226423151,15
0.376948663,6
0.156402297,15
0.413681768,16
0.345720785,13
0.310071201,22
0.468129464,8
0.545235357,17
0.190735055,19
0.514879798,13
0.465269454,12
0.527889051,18
0.259653589,13
0.340611567,15
0.209963318,44
0.604275079,12
0.226881133,17
0.407122078,12
0.326497103,13
0.504238724,15
0.614386875,11
0.012951112,7
0.171850458,10
0.491611361,19
0.260884052,9
0.667278569,22
0.441791823,9
0.216669178,20
0.645212101,20
0.397635364,11
0.262616867,8
0.651080364,13
0.215367242,18
0.208419539,11
0.575681618,11
0.292946942,30
0.220817915,23
0.228694707,16
0.343294524,12
0.404711079,14
0.31826835,10
1,11
0.21297647,8
0.313714361,12
0.197361288,31
0.196726233,16
0.258210937,13
0.605543865,8
0.729836014,14
0.355149609,14
0.388051412,20
0.318431646,17
0.346064325,12
0.302572671,19
0.235528921,17
0.701396727,8
0.756358086,13
0.73488892,17
0.370304683,19
0.494738591,12
0.247399773,18
0.54444606,10
0.301258642,16
0.415455892,10
0.386625272,12
