 triples,bleu
10,0.368893973
8,1
7,0.376849916
6,0.222300379
5,0.341077255
11,0.731110446
9,0.48354474
8,0.555523807
12,0.59116026
8,0.503321045
8,0.58995654
11,0.446831072
11,0.277683528
8,0.305558963
8,0.24808415
13,0.375311927
8,0.350911977
13,0.325879805
8,0.643458884
10,0.488923022
8,0.488923022
9,0.308619463
9,0.701396727
12,0.660632864
7,0.846481725
9,0.516973154
7,0.366511363
9,1
8,0.516973154
6,0.35065941
11,0.454801905
10,0.48235608
5,0.384981501
8,0.387538583
7,0.609444548
6,0.461493737
9,0.46086364
14,0.795270729
19,0.654890787
9,0.322601352
13,0.417226145
8,0.435643554
12,0.631196908
7,0.305924358
10,0.628016973
10,0.158824817
8,0.187443091
14,0.607679581
10,0.35361129
16,0.369565606
32,0.245029686
12,0.180624946
15,0.392354221
11,0.600428771
10,0.56386531
19,0.308569601
13,0.53209626
37,0.296174201
15,0.306545454
14,0.254066374
30,0.223996139
15,0.393123024
29,0.29963847
10,0.366331103
10,0.421395295
10,0.359678959
22,0.16499713
22,0.805323596
11,0.532946263
10,0.367414549
9,0.341077255
11,0.412871318
12,0.477999535
23,0.228941569
12,0.251242185
17,0.415350924
15,0.143078714
14,0.432369436
15,0.750623854
11,0.459149769
49,0.210113858
14,0.419997398
19,0.305761638
6,0.633783488
15,0.251390689
38,0.239854165
9,0.882496903
10,0.111702466
12,0.524932594
13,0.676130446
18,0.634046628
10,0.251242185
12,0.415138095
7,0.035204774
16,0.32002861
11,0.386097395
18,0.722245058
26,0.45204707
11,0.366055014
23,0.42115125
14,0.330768044
10,0.366331103
29,0.232506408
20,0.29782018
11,0.382602942
14,0.199923657
15,0.226423151
6,0.376948663
15,0.156402297
16,0.413681768
13,0.345720785
22,0.310071201
8,0.468129464
17,0.545235357
19,0.190735055
13,0.514879798
12,0.465269454
18,0.527889051
13,0.259653589
15,0.340611567
44,0.209963318
12,0.604275079
17,0.226881133
12,0.407122078
13,0.326497103
15,0.504238724
11,0.614386875
7,0.012951112
10,0.171850458
19,0.491611361
9,0.260884052
22,0.667278569
9,0.441791823
20,0.216669178
20,0.645212101
11,0.397635364
8,0.262616867
13,0.651080364
18,0.215367242
11,0.208419539
11,0.575681618
30,0.292946942
23,0.220817915
16,0.228694707
12,0.343294524
14,0.404711079
10,0.31826835
11,1
8,0.21297647
12,0.313714361
31,0.197361288
16,0.196726233
13,0.258210937
8,0.605543865
14,0.729836014
14,0.355149609
20,0.388051412
17,0.318431646
12,0.346064325
19,0.302572671
17,0.235528921
8,0.701396727
13,0.756358086
17,0.73488892
19,0.370304683
12,0.494738591
18,0.247399773
10,0.54444606
16,0.301258642
10,0.415455892
12,0.386625272
