Triples, Cosine
6,0.577350269
5,0.730296743
5,0.547722558
11,0.942809042
8,0.544331054
14,0.5
5,1
6,0.612372436
12,0.948683298
23,0.545705156
6,0.25
38,0.559016994
29,0.538027587
6,0.338061702
22,0.63900965
10,0.516397779
8,0.801783726
18,0.421637021
4,0.471404521
6,0.833333333
10,0.680413817
3,0.25
8,0.5
14,0.888888889
21,0.801783726
4,0.577350269
11,0.510310363
12,0.804030252
5,0.8
7,0.333333333
12,0.369800131
11,0.527046277
25,0.857492926
9,0.426401433
13,0.843274043
9,0.857142857
11,0.447213595
35,0.788932059
7,0.714285714
11,0.478091444
27,0.708010432
28,0.418717895
18,0.690065559
26,0.732467021
10,0.625
9,0.875
16,0.534522484
6,1
10,0.804030252
26,0.75
19,0.843274043
7,0.222222222
3,1
19,0.48507125
18,0.43852901
15,0.690065559
10,0.816496581
12,0.333333333
9,0.707106781
11,0.875
19,0.609271796
10,0.857142857
5,0.676123404
12,0.333333333
13,0.632455532
6,0.46291005
24,0.745601135
16,0.311399578
11,0.942809042
14,0.572077554
20,0.726722093
26,0.699378606
13,0.533001791
13,0.636363636
4,0.866025404
10,0.75
18,0.467707173
8,0.9258201
16,0.467707173
14,1
12,0.63900965
22,0.68884672
23,0.56343617
13,0.547722558
10,0.948683298
10,0.942809042
10,0.9258201
19,0.739940073
17,0.5
8,0.597614305
25,0.591607978
15,0.609271796
8,0.845154255
27,0.713024096
15,0.490511472
18,0.429668924
24,0.632455532
12,0.640512615
